,mon,osd,driver,worker,read,write,container,object,size,throughput-read
1mon8osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151124011256,1,8,1,1,75,25,16,4096,0,27.756666666666664
1mon20osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151123093539,1,20,1,1,10,90,16,4096,0,3.4241666666666664
1mon30osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123064659,1,30,4,4,0,100,16,4096,0,0.0
1mon30osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123043612,1,30,2,4,50,50,16,4096,0,52.14194444444444
1mon10osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123231022,1,10,4,8,75,25,16,4096,0,198.7744444444444
1mon6osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124105622,1,6,2,4,90,10,16,4096,0,148.58916666666667
1mon8osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124030009,1,8,1,8,25,75,16,4096,0,24.51222222222222
1mon4osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124192309,1,4,2,16,10,90,16,4096,0,7.987500000000001
1mon6osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124112931,1,6,2,8,90,10,16,4096,0,255.77555555555557
1mon4osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124200624,1,4,4,8,100,0,16,4096,0,248.13833333333338
1mon10osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123184929,1,10,1,2,25,75,16,4096,0,13.871944444444445
1mon10osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123222643,1,10,4,4,100,0,16,4096,0,351.0624999999999
1mon20osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123145513,1,20,4,8,10,90,16,4096,0,8.66638888888889
1mon6osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124100938,1,6,1,8,10,90,16,4096,0,8.400555555555556
1mon4osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124211340,1,4,4,32,100,0,16,4096,0,480.3319444444444
1mon30osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123035417,1,30,2,2,75,25,16,4096,0,50.67138888888889
1mon10osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123214217,1,10,2,8,10,90,16,4096,0,8.409722222222221
1mon4osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124175802,1,4,2,4,90,10,16,4096,0,100.73805555555556
1mon10osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151123175844,1,10,1,1,100,0,16,4096,0,28.048055555555553
1mon10osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124000523,1,10,4,16,0,100,16,4096,0,0.0
1mon10osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151123182626,1,10,1,1,0,100,16,4096,0,0.0
1mon30osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123055703,1,30,2,16,25,75,16,4096,0,23.818333333333335
1mon6osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124095039,1,6,1,8,90,10,16,4096,0,198.7402777777778
1mon20osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123133715,1,20,2,16,25,75,16,4096,0,25.607222222222223
1mon4osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124155105,1,4,1,2,75,25,16,4096,0,38.99972222222223
1mon6osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124144412,1,6,4,32,0,100,16,4096,0,0.0
1mon20osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123115549,1,20,2,2,10,90,16,4096,0,4.860555555555556
1mon4osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124164142,1,4,1,4,0,100,16,4096,0,0.0
1mon4osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124173457,1,4,2,2,50,50,16,4096,0,24.61416666666667
1mon30osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123015328,1,30,1,2,100,0,16,4096,0,54.82722222222222
1mon20osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123122528,1,20,2,4,25,75,16,4096,0,19.800277777777772
1mon6osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124131609,1,6,4,8,75,25,16,4096,0,184.37111111111113
1mon8osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124050421,1,8,2,16,75,25,16,4096,0,233.17388888888894
1mon20osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123102453,1,20,1,4,90,10,16,4096,0,95.5313888888889
1mon8osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124024112,1,8,1,8,100,0,16,4096,0,288.9013888888889
1mon10osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123212234,1,10,2,8,90,10,16,4096,0,330.68111111111114
1mon6osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124102404,1,6,2,2,90,10,16,4096,0,79.04388888888889
1mon8osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124064858,1,8,4,16,75,25,16,4096,0,185.27416666666667
1mon8osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151124074004,1,8,4,32,10,90,16,4096,0,7.870270270270268
1mon10osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123220138,1,10,2,16,75,25,16,4096,0,227.1025
1mon30osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123022431,1,30,1,2,0,100,16,4096,0,0.0
1mon30osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123072029,1,30,4,8,10,90,16,4096,0,8.33888888888889
1mon6osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124101930,1,6,2,2,100,0,16,4096,0,107.265
1mon8osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124052920,1,8,4,4,100,0,16,4096,0,334.6850000000001
1mon8osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124034245,1,8,2,2,0,100,16,4096,0,0.0
1mon4osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124214249,1,4,4,32,0,100,16,4096,0,0.0
1mon6osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124133058,1,6,4,8,10,90,16,4096,0,8.524722222222223
1mon10osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123200600,1,10,1,8,0,100,16,4096,0,0.0
1mon6osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124140005,1,6,4,16,25,75,16,4096,0,26.069444444444446
1mon8osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124021719,1,8,1,4,75,25,16,4096,0,104.29916666666666
1mon8osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124044513,1,8,2,8,10,90,16,4096,0,8.07
1mon30osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123062414,1,30,4,4,75,25,16,4096,0,108.6861111111111
1mon10osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123193211,1,10,1,4,0,100,16,4096,0,0.0
1mon30osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151123014813,1,30,1,1,0,100,16,4096,0,0.0
1mon10osd_2driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123215205,1,10,2,16,100,0,16,4096,0,600.1983333333333
1mon8osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124043031,1,8,2,8,75,25,16,4096,0,189.7072222222222
1mon30osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123050241,1,30,2,8,90,10,16,4096,0,267.7319444444444
1mon6osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124135005,1,6,4,16,75,25,16,4096,0,210.8361111111111
1mon30osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123020858,1,30,1,2,50,50,16,4096,0,23.71472222222222
1mon20osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123144952,1,20,4,8,25,75,16,4096,0,25.788888888888884
1mon8osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124060315,1,8,4,8,100,0,16,4096,0,595.1322222222221
1mon10osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123190821,1,10,1,4,90,10,16,4096,0,154.48611111111111
1mon4osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151124204910,1,4,4,16,75,25,16,4096,0,163.4972222222222
1mon4osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124162259,1,4,1,4,75,25,16,4096,0,70.63944444444445
1mon30osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123052412,1,30,2,8,10,90,16,4096,0,8.79638888888889
1mon30osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123025040,1,30,1,4,25,75,16,4096,0,20.285277777777775
1mon8osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124042109,1,8,2,8,100,0,16,4096,0,440.85222222222217
1mon4osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124200132,1,4,4,4,0,100,16,4096,0,0.0
1mon30osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123042033,1,30,2,4,100,0,16,4096,0,202.63611111111112
1mon10osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151123182148,1,10,1,1,10,90,16,4096,0,2.958611111111111
1mon20osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123135309,1,20,4,4,100,0,16,4096,0,210.87611111111107
1mon8osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124044016,1,8,2,8,25,75,16,4096,0,25.745405405405403
1mon6osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124112458,1,6,2,8,100,0,16,4096,0,384.155
1mon6osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124115352,1,6,2,8,0,100,16,4096,0,0.0
1mon4osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124181148,1,4,2,4,25,75,16,4096,0,19.919444444444444
1mon30osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123044130,1,30,2,4,25,75,16,4096,0,20.7425
1mon6osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151124082724,1,6,1,1,25,75,16,4096,0,7.343055555555556
1mon10osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123205818,1,10,2,4,50,50,16,4096,0,58.94472222222222
