,mon,osd,driver,worker,read,write,container,object,size,throughput-write
1mon30osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123052936,1,30,2,8,0,100,16,4096,0,75.93277777777777
1mon4osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124210841,1,4,4,16,0,100,16,4096,0,69.01405405405407
1mon4osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124160440,1,4,1,2,10,90,16,4096,0,45.34361111111111
1mon8osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124035213,1,8,2,4,90,10,16,4096,0,21.73833333333333
1mon10osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123235518,1,10,4,16,25,75,16,4096,0,77.78486486486489
1mon10osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123213220,1,10,2,8,50,50,16,4096,0,76.27000000000001
1mon8osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124040137,1,8,2,4,50,50,16,4096,0,59.047499999999985
1mon8osd_1driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151124023129,1,8,1,4,10,90,16,4096,0,69.87694444444445
1mon10osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151123181711,1,10,1,1,25,75,16,4096,0,23.47611111111111
1mon20osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123095523,1,20,1,2,75,25,16,4096,0,12.43388888888889
1mon6osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124123753,1,6,4,4,90,10,16,4096,0,17.505555555555556
1mon10osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151123184012,1,10,1,2,75,25,16,4096,0,17.988611111111112
1mon20osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123152132,1,20,4,16,50,50,16,4096,0,75.95027777777779
1mon10osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123225553,1,10,4,4,0,100,16,4096,0,68.15166666666667
1mon6osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124100448,1,6,1,8,25,75,16,4096,0,77.7686111111111
1mon8osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124070510,1,8,4,16,10,90,16,4096,0,77.23027777777777
1mon20osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123125046,1,20,2,8,75,25,16,4096,0,52.412222222222226
1mon10osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123183106,1,10,1,2,100,0,16,4096,0,0.0
1mon10osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123232021,1,10,4,8,25,75,16,4096,0,74.10027777777779
1mon8osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124053404,1,8,4,4,90,10,16,4096,0,25.54111111111111
1mon6osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124091746,1,6,1,4,90,10,16,4096,0,13.443055555555555
1mon30osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123045733,1,30,2,8,100,0,16,4096,0,0.0
1mon8osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151124012206,1,8,1,1,25,75,16,4096,0,23.22861111111111
1mon30osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151123083733,1,30,4,32,10,90,16,4096,0,72.59108108108109
1mon30osd_2driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123054601,1,30,2,16,75,25,16,4096,0,69.3872972972973
1mon20osd_1driver_50read50write0delete_1worker_16container_4096object_512KB_180sec_20151123092555,1,20,1,1,50,50,16,4096,0,12.645833333333334
1mon10osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123235013,1,10,4,16,50,50,16,4096,0,77.99783783783784
