$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-read
1,20,1,8,50,50,16,4096,0,332.8888888889
1,4,4,16,50,50,16,4096,0,327.8333333333
1,30,4,32,75,25,16,4096,0,1064.5135135135
1,6,1,4,25,75,16,4096,0,101.1666666667
1,6,2,2,0,100,16,4096,0,0
1,6,1,1,75,25,16,4096,0,122.3333333333
1,4,1,1,25,75,16,4096,0,34.1944444444
1,4,1,4,90,10,16,4096,0,471.3333333333
1,20,4,32,0,100,16,4096,0,0
1,30,1,8,100,0,16,4096,0,1042.1111111111
1,8,2,2,100,0,16,4096,0,703.4166666667
1,4,4,8,25,75,16,4096,0,110.6388888889
1,4,1,1,90,10,16,4096,0,134.0277777778
1,8,4,8,25,75,16,4096,0,128.7222222222
1,10,4,8,90,10,16,4096,0,1828.9722222222
1,30,2,2,100,0,16,4096,0,408.4166666667
1,4,2,8,25,75,16,4096,0,110.6944444444
1,8,2,16,90,10,16,4096,0,2205.5555555556
1,8,1,8,50,50,16,4096,0,361.1944444444
1,6,2,2,75,25,16,4096,0,268.0555555556
1,4,2,4,50,50,16,4096,0,203.9166666667
1,30,1,1,90,10,16,4096,0,101.3611111111
1,10,1,8,50,50,16,4096,0,351.3611111111
1,30,2,16,100,0,16,4096,0,2412.1944444445
1,20,4,32,10,90,16,4096,0,41.5
1,20,4,16,25,75,16,4096,0,124.2222222222
1,20,4,4,50,50,16,4096,0,247.8055555556
1,20,1,2,0,100,16,4096,0,0
1,30,1,2,90,10,16,4096,0,247.1666666667
1,6,2,4,10,90,16,4096,0,36.9444444444
1,4,2,2,10,90,16,4096,0,23.8055555556
1,8,1,2,0,100,16,4096,0,0
1,6,1,8,0,100,16,4096,0,0
1,30,1,2,25,75,16,4096,0,54.8055555556
1,8,2,16,100,0,16,4096,0,2929.3611111111
1,4,2,16,90,10,16,4096,0,1203.9722222222
1,20,4,8,90,10,16,4096,0,1457.8055555556
1,30,1,2,75,25,16,4096,0,184.0555555556
1,6,2,16,100,0,16,4096,0,2137.9166666667
1,30,4,16,25,75,16,4096,0,124.4166666667
1,20,2,4,100,0,16,4096,0,772.6666666667
1,30,1,1,50,50,16,4096,0,61.9166666667
1,8,4,4,75,25,16,4096,0,662.4444444444
1,8,4,32,75,25,16,4096,0,1099.8055555556
1,4,1,2,0,100,16,4096,0,0
1,4,4,4,100,0,16,4096,0,683.5833333333
1,30,4,32,90,10,16,4096,0,3077.0555555556
1,8,1,1,90,10,16,4096,0,181.5
1,6,1,4,0,100,16,4096,0,0
1,30,1,4,0,100,16,4096,0,0
1,6,4,8,25,75,16,4096,0,124.3333333333
1,6,4,16,100,0,16,4096,0,3649.9444444445
1,10,2,4,10,90,16,4096,0,38.1944444444
1,4,1,2,100,0,16,4096,0,309
1,20,4,16,10,90,16,4096,0,43.6486486486
1,10,4,4,25,75,16,4096,0,108.1944444444
1,30,4,16,90,10,16,4096,0,1920.5945945946
1,30,1,1,75,25,16,4096,0,99.1111111111
1,8,4,8,90,10,16,4096,0,1868.1111111111
1,6,1,1,10,90,16,4096,0,13.8888888889
1,30,4,4,10,90,16,4096,0,32.0277777778
1,4,1,4,25,75,16,4096,0,91.5675675676
1,6,2,16,90,10,16,4096,0,1630.0555555556
1,6,4,4,0,100,16,4096,0,0
1,6,1,8,50,50,16,4096,0,339.4444444444
1,10,2,16,10,90,16,4096,0,43.6111111111
1,8,2,2,10,90,16,4096,0,25.3055555556
1,20,4,4,10,90,16,4096,0,33.4722222222
1,4,4,16,10,90,16,4096,0,35.3243243243
1,8,2,2,25,75,16,4096,0,69
1,8,1,8,75,25,16,4096,0,812
1,8,4,4,10,90,16,4096,0,37.6666666667
1,10,4,32,10,90,16,4096,0,41.9459459459
1,20,2,16,75,25,16,4096,0,1014.0540540541
1,10,4,32,0,100,16,4096,0,0
1,4,2,2,75,25,16,4096,0,195.5
1,8,4,4,25,75,16,4096,0,112.0277777778
1,10,1,4,100,0,16,4096,0,837.2777777778
1,10,1,8,75,25,16,4096,0,823.4166666667
1,10,2,2,25,75,16,4096,0,70.7222222222
1,30,4,4,25,75,16,4096,0,100.1111111111
1,8,4,16,0,100,16,4096,0,0
1,6,4,32,50,50,16,4096,0,375.7027027027
1,6,1,4,10,90,16,4096,0,36.972972973
1,6,4,32,100,0,16,4096,0,4993.0555555556
1,30,2,2,25,75,16,4096,0,62.9166666667
1,4,1,1,50,50,16,4096,0,68.1666666667
1,6,4,8,0,100,16,4096,0,0
1,8,2,4,100,0,16,4096,0,1310.9444444445
1,6,2,16,10,90,16,4096,0,41.6216216216
1,30,4,16,100,0,16,4096,0,2344
1,6,4,4,75,25,16,4096,0,513.5277777778
1,6,1,1,100,0,16,4096,0,152.0555555556
1,20,2,2,50,50,16,4096,0,122.6944444444
1,10,1,8,90,10,16,4096,0,1238.6111111111
1,6,4,32,10,90,16,4096,0,43.4722222222
1,30,2,16,90,10,16,4096,0,2059.0810810811
1,30,1,4,90,10,16,4096,0,454.9444444444
1,4,4,8,50,50,16,4096,0,290.9722222222
1,20,1,4,50,50,16,4096,0,209.3243243243
1,20,4,32,100,0,16,4096,0,3667.6111111111
1,6,1,2,25,75,16,4096,0,62.7222222222
1,4,2,16,0,100,16,4096,0,0
1,30,4,8,0,100,16,4096,0,0
1,6,1,8,100,0,16,4096,0,1220.6388888889
1,10,4,8,50,50,16,4096,0,368.9444444444
1,20,1,8,100,0,16,4096,0,828.0540540541
1,6,1,2,100,0,16,4096,0,339
1,10,2,4,0,100,16,4096,0,0
1,20,1,2,25,75,16,4096,0,56.5277777778
1,30,2,16,10,90,16,4096,0,41.7777777778
1,20,2,16,10,90,16,4096,0,41.6944444444
1,6,1,4,50,50,16,4096,0,234.8888888889
1,4,2,4,10,90,16,4096,0,34.7222222222
1,6,1,8,75,25,16,4096,0,697.1666666667
1,4,2,8,50,50,16,4096,0,283.8918918919
1,4,1,4,10,90,16,4096,0,37.3333333333
1,8,1,2,100,0,16,4096,0,430.1388888889
1,6,1,2,10,90,16,4096,0,23.5555555556
1,8,1,4,25,75,16,4096,0,108
1,10,4,32,50,50,16,4096,0,369.6486486486
1,6,1,2,90,10,16,4096,0,290.7777777778
1,30,4,4,50,50,16,4096,0,251.7777777778
1,8,1,1,100,0,16,4096,0,175.5833333333
1,8,2,16,50,50,16,4096,0,390.7777777778
1,20,4,4,25,75,16,4096,0,97.7777777778
1,20,1,4,100,0,16,4096,0,506.8333333333
1,4,4,32,75,25,16,4096,0,882.75
1,8,1,2,90,10,16,4096,0,352.5555555556
1,4,2,8,100,0,16,4096,0,1201.75
1,10,1,1,50,50,16,4096,0,82.1944444444
1,10,4,8,10,90,16,4096,0,44.5555555556
1,6,2,16,75,25,16,4096,0,978.0833333333
